Abbreviation,TeamName,qualif_pos,race_finish_pos,last_qualif_pos,EventName,RoundNumber,Year,is_race_incident,qualif_time,GapFromPole_pct,is_incident_quali,topspeed_kmh_qualif,constructor_pos,team_performance_lastgp,air_temp_forecast,track_temp_forecast,rain_proba_forecast
BOT,Cadillac,19.0,19.0,19.0,Australian Grand Prix,1,2026,1,83.244,6.019,0,321.0,10,0.0,24.23,36.13,0
HAD,Red Bull Racing,3.0,20.0,3.0,Australian Grand Prix,1,2026,1,79.303,1.0,0,327.0,4,0.0,24.23,36.13,0
PIA,McLaren,5.0,21.0,5.0,Australian Grand Prix,1,2026,1,79.38,1.098,0,324.0,3,0.0,24.23,36.13,0
HUL,Audi,11.0,22.0,11.0,Australian Grand Prix,1,2026,1,80.303,2.273,0,331.0,7,0.0,24.23,36.13,0
ANT,Mercedes,1.0,1.0,2.0,Chinese Grand Prix,2,2026,0,92.064,0.0,0,334.0,1,43.0,15.57,22.62,0
RUS,Mercedes,2.0,2.0,1.0,Chinese Grand Prix,2,2026,0,92.286,0.241,0,341.0,1,43.0,15.57,22.62,0
HAM,Ferrari,3.0,3.0,7.0,Chinese Grand Prix,2,2026,0,92.415,0.381,0,335.0,2,27.0,15.57,22.62,0
LEC,Ferrari,4.0,4.0,4.0,Chinese Grand Prix,2,2026,0,92.428,0.395,0,337.0,2,27.0,15.57,22.62,0
BEA,Haas F1 Team,10.0,5.0,12.0,Chinese Grand Prix,2,2026,0,93.197,1.231,0,334.0,3,6.0,15.57,22.62,0
GAS,Alpine,7.0,6.0,14.0,Chinese Grand Prix,2,2026,0,92.873,0.879,0,340.0,4,1.0,15.57,22.62,0
LAW,Racing Bulls,14.0,7.0,8.0,Chinese Grand Prix,2,2026,0,93.765,1.848,0,337.0,5,4.0,15.57,22.62,0
HAD,Red Bull Racing,9.0,8.0,3.0,Chinese Grand Prix,2,2026,0,93.121,1.148,0,338.0,6,8.0,15.57,22.62,0
SAI,Williams,17.0,9.0,21.0,Chinese Grand Prix,2,2026,0,94.317,2.447,0,338.0,7,0.0,15.57,22.62,0
COL,Alpine,12.0,10.0,16.0,Chinese Grand Prix,2,2026,0,93.357,1.404,0,343.0,4,1.0,15.57,22.62,0
HUL,Audi,11.0,11.0,11.0,Chinese Grand Prix,2,2026,0,93.354,1.401,0,336.0,9,2.0,15.57,22.62,0
LIN,Racing Bulls,15.0,12.0,9.0,Chinese Grand Prix,2,2026,0,93.784,1.868,0,337.0,5,4.0,15.57,22.62,0
BOT,Cadillac,19.0,13.0,19.0,Chinese Grand Prix,2,2026,0,95.436,3.663,0,335.0,10,0.0,15.57,22.62,0
OCO,Haas F1 Team,13.0,14.0,13.0,Chinese Grand Prix,2,2026,0,93.538,1.601,0,333.0,3,6.0,15.57,22.62,0
PER,Cadillac,21.0,15.0,18.0,Chinese Grand Prix,2,2026,0,96.906,5.259,0,334.0,10,0.0,15.57,22.62,0
VER,Red Bull Racing,8.0,16.0,20.0,Chinese Grand Prix,2,2026,1,93.002,1.019,0,337.0,6,8.0,15.57,22.62,0
ALO,Aston Martin,18.0,17.0,17.0,Chinese Grand Prix,2,2026,1,95.203,3.41,0,328.0,8,0.0,15.57,22.62,0
STR,Aston Martin,20.0,18.0,22.0,Chinese Grand Prix,2,2026,1,95.995,4.27,0,324.0,8,0.0,15.57,22.62,0
PIA,McLaren,5.0,19.0,5.0,Chinese Grand Prix,2,2026,1,92.55,0.528,0,336.0,11,10.0,15.57,22.62,0
NOR,McLaren,6.0,20.0,6.0,Chinese Grand Prix,2,2026,1,92.608,0.591,0,336.0,11,10.0,15.57,22.62,0
BOR,Audi,16.0,21.0,10.0,Chinese Grand Prix,2,2026,1,93.549,1.613,0,339.0,9,2.0,15.57,22.62,0
ALB,Williams,22.0,22.0,15.0,Chinese Grand Prix,2,2026,1,94.772,2.941,0,339.0,7,0.0,15.57,22.62,0
